epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3008.28,1.0225,1.80091,1.43742,0.89364,0.83539,0.9134,0.72527,0.78901,0.65216,1.25409,0.00333253,0.00333253,0.00333253
2,5965.22,0.9851,0.98503,1.39291,0.82959,0.74668,0.84699,0.68475,0.77722,0.83422,1.25299,0.00653387,0.00653387,0.00653387
3,8909.91,1.0473,1.06693,1.43864,0.86724,0.82591,0.89728,0.72648,0.74949,0.67205,1.25164,0.00960322,0.00960322,0.00960322
4,11840.1,1.01173,0.99732,1.41643,0.9327,0.87371,0.94679,0.79884,0.6553,0.49548,1.17009,0.009406,0.009406,0.009406
5,14778.2,0.91781,0.84921,1.34853,0.91855,0.86696,0.93858,0.80998,0.6064,0.50984,1.13071,0.009208,0.009208,0.009208
6,17697.6,0.85499,0.76341,1.29935,0.95089,0.91772,0.96962,0.84951,0.55866,0.37708,1.08105,0.00901,0.00901,0.00901
7,20614.5,0.82857,0.72128,1.27666,0.94814,0.9055,0.9683,0.85637,0.53827,0.38332,1.06371,0.008812,0.008812,0.008812
8,23531,0.79886,0.68483,1.25962,0.95459,0.92107,0.97275,0.86626,0.51854,0.34759,1.04877,0.008614,0.008614,0.008614
9,26452,0.78146,0.65513,1.24046,0.95203,0.92631,0.97287,0.87245,0.49845,0.33654,1.03002,0.008416,0.008416,0.008416
10,29373.9,0.75826,0.63624,1.22386,0.95621,0.93554,0.97601,0.88199,0.48296,0.31658,1.0185,0.008218,0.008218,0.008218
11,32298.4,0.74935,0.62237,1.22012,0.96168,0.94274,0.97928,0.88826,0.47261,0.29649,1.0096,0.00802,0.00802,0.00802
12,35223,0.73513,0.60394,1.20857,0.9642,0.94453,0.98135,0.89166,0.46441,0.28585,1.00185,0.007822,0.007822,0.007822
13,38150.8,0.72253,0.58628,1.20012,0.9618,0.94882,0.98231,0.8946,0.45811,0.28013,0.99541,0.007624,0.007624,0.007624
14,41079.5,0.70939,0.57885,1.19161,0.9626,0.94799,0.98177,0.89562,0.45385,0.27862,0.99127,0.007426,0.007426,0.007426
15,44009.6,0.70431,0.56788,1.18494,0.96447,0.94915,0.98266,0.89795,0.4488,0.27289,0.98712,0.007228,0.007228,0.007228
16,46937.8,0.69267,0.55539,1.17808,0.96631,0.94991,0.98315,0.89926,0.4452,0.26882,0.98328,0.00703,0.00703,0.00703
17,49861.5,0.69002,0.55099,1.17629,0.96476,0.95292,0.98369,0.9008,0.44227,0.26518,0.98032,0.006832,0.006832,0.006832
18,52789.2,0.67846,0.53789,1.16509,0.96548,0.95325,0.98392,0.90202,0.43988,0.26316,0.97779,0.006634,0.006634,0.006634
19,55714,0.67238,0.53242,1.16178,0.96742,0.95332,0.98433,0.90318,0.43731,0.26032,0.97516,0.006436,0.006436,0.006436
